sites,study_id,year,indepedence_weight,reference,doi_link,google_drive_link,data_quality,data_quality_explanation,data_stripped,sum_total_richness,sum_total_abundance,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,driver_of_stratification,other_data_of_interest,additional_notes
2,Basham_2020,2020,0.5,"Basham, E. W., & Scheffers, B. R. (2020). Vertical stratification collapses under seasonal shifts in climate. Journal of Biogeography.",10.1111/jbi.13857,https://drive.google.com/file/d/1AKWkxFYkfaZpcAV3FJtiYAZMtL6xcMqY/view?usp=sharing,1,NA,Yes,23,NA,2,4,2,"Richness, abundance (supp) - continuous gradient",Human observation,Amphibians,Americas,Panama,Unlogged,Dry,Moist forest,400,33,9.358555,-79.7029,2017-06-01,2018-09-01,"Microhabitats, forest structure",NA,NA
1,Bell_1982,1982,1,"Bell, H. L. (1982). A bird community of New Guinean lowland rainforest. 3 Vertical distribution of the avifauna. Emu-Austral Ornithology, 82(3), 143-162.",NA,https://drive.google.com/file/d/11ScOgOYFx5yupw1HOIQNDUYZq_Nl32OP/view?usp=sharing,1,NA,Yes,100,26361,2,4,5,"Abundance (Density) - continous gradient, Abundance, Richness - 5 categories of height",Human observation,Birds,Asia and Oceania,Papua New Guinea,Unlogged,Sampling combined across the year,Lowland rainforest,250,40,-9.159416,147.235403,1975-12-01,1977-12-01,"Food sources, sex related differences (also display behaviours), effect of mixed flocking, secondary growth species","Biomass by strata, guild data, species specific data, seasonal data",NA
1,Bernard_2001,2001,1,"Bernard, E. (2001). Vertical stratification of bat communities in primary forests of Central Amazon, Brazil. Journal of Tropical Ecology, 17(01), 115-126.",10.1017/S0266467401001079,https://drive.google.com/file/d/1mU-12OR_sihCUIJFpO0L6yuTATVTa70M/view?usp=sharing,1,NA,Yes,51,936,4,3,4,"Abundance (per net hour), Richness (estimated - taken from sampaio) - 2 categories of height",Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined across the year,Lowland rainforest,80,40,-2.407222,-59.727778,1996-08-01,1997-08-01,"Diet, foraging behaviour, roost-site selection, and morphology","Guild, species specific data",NA
1,Bonaccorso_1976,1976,1,"Bonaccorso, F. J. (1976). Foraging and reproductive ecology in a community of bats in Panama. PhD Dissertation: University of Florida",NA,https://ufdc.ufl.edu/AA00024888/00001/pdf,3,"3 - Data need compilation from multiple guild specific tables - Tables 11, 21, 23 - There is no Canopy nets... only to subcanopy - the author states that canopy nets were stopped because there were very few captures",Yes,27,1261,3,3,4,"Abundance, Richness - 2 categories of height",Mist nets and harp traps,Bats,Americas,Panama,Unlogged,Sampling combined across the year,Lowland rainforest,25,40,9.154456,-79.851034,1971,1973,"Food sources, guilds","Food stratification, seasonality, guild and species specific data",NA
1,Bonter_2008,2008,NA,"Bonter, D. N., Brooks, E. W., & Donovan, T. M. (2008). What are we missing with only ground‐level mist nets? Using elevated nets at a migration stopover site. Journal of Field Ornithology, 79(3), 314-320.",https://doi.org/10.1111/j.1557-9263.2008.00179.xx,https://drive.google.com/file/d/11hAyJ2zpIIWW6ppjD-9wEyMIpF9TSUOf/view?usp=sharing,2,2 - Needs converting from category metric,No,NA,NA,NA,NA,NA,"Abundance? (data is not in a good format for this- possibly use the basic % captured in each), Richness - continuous?",-,Birds,NA,USA,Young-regrowth,Sampling combined across the year,Temperate forest,100,5,43.327222,-77.718056,2000,2006,"Seasonality of vegetation structure, niche partitioning","Seasonal vertical shifts, species and guild specific data",NA
1,Brosset_1996,1996,1,"Brosset, A., Charles-Dominique, P., Cockle, A., Cosson, J. F., & Masson, D. (1996). Bat communities and deforestation in French Guiana. Canadian Journal of Zoology, 74(11), 1974-1982.",NA,https://drive.google.com/file/d/17udzZrNji-5bmB7c4Fbe0x65HdoWC-P-/view?usp=sharing,1,NA,Yes,NA,366,2,2,5,Abundance (Table 2),Mist nets,Bats,Americas,French Guiana,Unlogged,Unknown,Lowland rainforest,30,30,5.342922,-53.038439,Unknown,Unknown,"Food, foraging strategy","Regrowth vs primary, guild/species data",ECEREX
2,Brosset_1996,1996,1,"Brosset, A., Charles-Dominique, P., Cockle, A., Cosson, J. F., & Masson, D. (1996). Bat communities and deforestation in French Guiana. Canadian Journal of Zoology, 74(11), 1974-1982.",NA,https://drive.google.com/file/d/17udzZrNji-5bmB7c4Fbe0x65HdoWC-P-/view?usp=sharing,1,NA,Yes,NA,590,2,2,5,Abundance (Table 2),Mist nets,Bats,Americas,French Guiana,Unlogged,Unknown,Lowland rainforest,100,30,4.137033,-52.942917,Unknown,Unknown,"Food, foraging strategy","Regrowth vs primary, guild/species data",Nouragues
3,Brosset_1996,1996,NA,"Brosset, A., Charles-Dominique, P., Cockle, A., Cosson, J. F., & Masson, D. (1996). Bat communities and deforestation in French Guiana. Canadian Journal of Zoology, 74(11), 1974-1982.",NA,https://drive.google.com/file/d/17udzZrNji-5bmB7c4Fbe0x65HdoWC-P-/view?usp=sharing,1,NA,Yes,NA,450,NA,NA,NA,Abundance (Table 2),Mist nets,Bats,SA,French Guiana,Regrowth,Unknown,Lowland rainforest,25,20,5.396344,-53.048411,Unknown,Unknown,"Food, foraging strategy","Regrowth vs primary, guild/species data",ARBOCEL
1,Buchanan-Smith_2000,2000,1,"Buchanan-Smith, H. M., Hardie, S. M., Caceres, C., & Prescott, M. J. (2000). Distribution and forest utilization of Saguinus and other primates of the Pando Department, northern Bolivia. International Journal of Primatology, 21(3), 353-379.",NA,https://drive.google.com/file/d/1-h4_cFTy9aOJzXMhnMpigxS6e9IOfClH/view?usp=sharing,2,2 - Needs converting from species ranges,Yes,12,2277,5,2,2,Richness,Human observation,Primates,Americas,Bolivia,Multiple regrowth stages,Dry,Lowland rainforest,300,20,-11.55,-69.116667,1997-06-01,1997-10-01,"Forest structure, species interactions","Species specific data, body size, successionaal forests",NA
1,Carvalho_2013,2013,1,"Carvalho, F., Fabián, M. E., & Menegheti, J. O. (2013). Vertical structure of an assemblage of bats (Mammalia: Chiroptera) in a fragment of Atlantic Forest in Southern Brazil. Zoologia (Curitiba), 30(5), 491-498.",https://doi.org/10.1590/S1984-46702013000500004,https://drive.google.com/file/d/1LF1iJKOfNwxZZAMtJJD4ig2I7akO0cwW/view?usp=sharing,1,NA,Yes,24,485,2,2,5,"Richness (and estimated by rarefaction), Abundance, Species diversity - 3 categories of height",Mist nets,Bats,Americas,Brazil,Multiple regrowth stages,Unknown,Dense Ombrophilous Forest,150,20,-28.483611,-49.255278,2005-06-01,2010-09-30,"Food resources, canopy/forest structure",Species specific data,NA
1,Chmel_2016,2016,1,"Chmel, K., Riegert, J., Paul, L., & Novotný, V. (2016). Vertical stratification of an avian community in New Guinean tropical rainforest. Population Ecology, 58(4), 535-547.",doi:10.1007/s10144-016-0561-2,https://drive.google.com/file/d/1c5P5DC0OFPkBekA7xb8YthZgpEuSDckD/view?usp=sharing,2,2 - Richness and abundance data needs to be taken from multiple tables - https://drive.google.com/file/d/1U_F2ltC7HJr76gY2OwubzJKg0-TuJP4r/view?usp=sharing,Yes,86,848,2,2,3,"Abundance, Richness - 6 categories of height",Mist nets,Birds,Asia and Oceania,Papua New Guinea,Unlogged,Sampling across dry and wet seasons,Lowland rainforest,120,35,-5.113611,145.038611,2013-06-01,2013-11-01,"Guild behaviours, food resources, foliage distribution","Foliage density, daily stratification patterns",NA
1,Colquhoun_1943,1943,NA,"Colquhoun, M. K., & Morley, A. (1943). Vertical zonation in woodland bird communities. The Journal of Animal Ecology, 75-81.",NA,https://drive.google.com/file/d/1b1qcvoVfJRbhBB0AKUt2iIf_YouTFqPk/view?usp=sharing,1,NA,Yes,12,3397,NA,NA,NA,"Abundance, Richness - 5 categories of height",Point counts,Birds,NA,England,Unlogged,Winter,Oak Woodland,110,20,51.718,-1.2611,1941-11-01,1942-02-01,"Food resources, guild specific behaviours","Species specific data, zone preference data",NA
1,Crome_1978,1978,NA,"Crome, F. H. J. (1978). Foraging ecology of an assemblage of birds in lowland rainforest in northern Queensland. Australian Journal of Ecology, 3(2), 195-212.",NA,https://drive.google.com/file/d/1WL6cxL3MUl6fk_Hdedtsb381CoRFJlgL/view?usp=sharing,1,NA,Yes,74,3109,NA,NA,NA,"Abundance, Richness - 5 categories of height",Point counts,Birds,NA,Australia,Logged,Sampling combined across the year,Mixed mesophyll vine forest,150,20,-17.849766,146.0725,1971-05-01,1972-04-30,"Food sources, guilds specific feeding,","Seasonal vertical shifts, weight distribution, guild and species specific data",NA
1,Derlindati_2005,2005,NA,"Derlindati, E. J., & Caziani, S. M. (2005). Using canopy and understory mist nets and point counts to study bird assemblages in Chaco forests. The Wilson Journal of Ornithology, 117(1), 92-99.",10.1676/03-063,https://drive.google.com/file/d/1Y85VH7wXfhrwVrZtBW1I_fu0nsQ4K6Ry/view?usp=sharing,1,NA,No,NA,NA,NA,NA,NA,"Abundance (captures/detections per), Richness (and estimated) - 2 categories of height",Mist nets,Birds,NA,Argentina,Logged,Dry,Semi-deciduousforest,160,12,-25.916667,-62.083333,1998-12-01,2000-09-25,Paper is comparison between methods,Methodological comparison,NA
2,Derlindati_2005,2005,NA,"Derlindati, E. J., & Caziani, S. M. (2005). Using canopy and understory mist nets and point counts to study bird assemblages in Chaco forests. The Wilson Journal of Ornithology, 117(1), 92-99.",10.1676/03-063,https://drive.google.com/file/d/1Y85VH7wXfhrwVrZtBW1I_fu0nsQ4K6Ry/view?usp=sharing,1,NA,No,NA,NA,NA,NA,NA,"Abundance (captures/detections per), Richness (and estimated) - 2 categories of height",Point counts,Birds,NA,Argentina,Logged,Dry,Semi-deciduousforest,160,12,-25.916667,-62.083333,1998-12-01,2000-09-25,Paper is comparison between methods,Methodological comparison,NA
3,Derlindati_2005,2005,0.5,"Derlindati, E. J., & Caziani, S. M. (2005). Using canopy and understory mist nets and point counts to study bird assemblages in Chaco forests. The Wilson Journal of Ornithology, 117(1), 92-99.",10.1676/03-063,https://drive.google.com/file/d/1Y85VH7wXfhrwVrZtBW1I_fu0nsQ4K6Ry/view?usp=sharing,1,NA,Yes,45,312,2,2,4,"Abundance (captures/detections per), Richness (and estimated) - 2 categories of height",Mist nets,Birds,Americas,Argentina,Unlogged,Dry,Semi-deciduousforest,160,12,-25.916667,-62.083333,1998-12-01,2000-09-25,Paper is comparison between methods,Methodological comparison,NA
4,Derlindati_2005,2005,0.5,"Derlindati, E. J., & Caziani, S. M. (2005). Using canopy and understory mist nets and point counts to study bird assemblages in Chaco forests. The Wilson Journal of Ornithology, 117(1), 92-99.",10.1676/03-063,https://drive.google.com/file/d/1Y85VH7wXfhrwVrZtBW1I_fu0nsQ4K6Ry/view?usp=sharing,1,NA,Yes,52,511,2,2,4,"Abundance (captures/detections per), Richness (and estimated) - 2 categories of height",Human observation,Birds,Americas,Argentina,Unlogged,Dry,Semi-deciduousforest,160,12,-25.916667,-62.083333,1998-12-01,2000-09-25,Paper is comparison between methods,Methodological comparison,NA
1,Dickson_1978,1978,NA,"Dickson, J. G., & Noble, R. E. (1978). Vertical distribution of birds in a Louisiana bottomland hardwood forest. The Wilson Bulletin, 19-30.",NA,https://drive.google.com/file/d/13vUyjZWCyI0hJsRY1QTxhzfR0FyArVZr/view?usp=sharing,3,3 - Data is as an index - needs wrangling,No,NA,NA,NA,NA,NA,"Abundance, Richness - 4 categories of height",NA,Birds,NA,USA,Unlogged,Sampling combined across the year,Bottomland hardwood forest,50,26,30.658296,-92.006032,1972-01-01,1974-02-01,Seasonal change in foliage profile and food supply of a deciduous forest,"Seasonal, species, and family (guild) data",NA
1,Dinanti_2018,2018,NA,"Dinanti, R. V., Winarni, N. L., & Supriatna, J. (2018). Vertical stratification of bird community in Cikepuh Wildlife Reserve, West Java, Indonesia. Biodiversitas Journal of Biological Diversity, 19(1), 134-139.",10.13057/biodiv/d190120,https://drive.google.com/file/d/1OqciqkBv7bY2PehwUE0MZmZp25gDuPTe/view?usp=sharing,1,NA,Yes,51,NA,NA,NA,NA,"Richness, - 5 categories of height",Human observation,Birds,NA,Indonesia,Logged,Unknown,Rainforest,50,35,-7.270449,106.42458,2016-03-01,2016-03-29,"Food resources, climate","Feeding guilds, rank abundance in vertical layers",NA
2,Dinanti_2018,2018,NA,"Dinanti, R. V., Winarni, N. L., & Supriatna, J. (2018). Vertical stratification of bird community in Cikepuh Wildlife Reserve, West Java, Indonesia. Biodiversitas Journal of Biological Diversity, 19(1), 134-139.",10.13057/biodiv/d190120,https://drive.google.com/file/d/1OqciqkBv7bY2PehwUE0MZmZp25gDuPTe/view?usp=sharing,1,NA,Yes,44,NA,NA,NA,NA,"Richness, - 5 categories of height",Human observation,Birds,NA,Indonesia,Plantation,Unknown,Teak and coconut,75,35,-7.238024,106.467532,2016-03-01,2016-03-29,"Food resources, climate","Feeding guilds, rank abundance in vertical layers",NA
1,Duya_2017,2017,1,"Duya, M. R., Fidelino, J., & Ong, P. (2017). Spatial heterogeneity of fruit bats in a primary tropical lowland evergreen rainforest in northeastern Luzon, Philippines. Acta Chiropterologica, 19(2), 305-318.",https://doi.org/10.3161/15081109ACC2017.19.2.007,https://drive.google.com/file/d/1vaJlQOQamyUS4rK7eDM3XKjeOarvddqu/view?usp=sharing,1,NA,Yes,8,1243,2,4,4,"Abundance, Richness - 2 categories of height",Mist nets,Bats,Asia and Oceania,Philippines,Unlogged,Region has no defined seasons,Lowland rainforest,100,20,17.037222,122.389444,2013-06-01,2014-07-10,Food resources,Species specific vertical preferences,Low diversity recorded - missing other guilds?
1,Fitzgerald_1989,1989,NA,"Fitzgerald, B. M., Robertson, H. A., & Whitaker, A. H. (1989). Vertical distribution of birds mist-netted in a mixed lowland forest in New Zealand. Notornis, 36(4), 311-321.",NA -PAGE 311,http://notornis.osnz.org.nz/system/files/Notornis_36_4.pdf,3,3 - Data as an index and individually split with weird axis,No,NA,NA,NA,NA,NA,"Abundance, Richness - 6 categories of height",NA,Birds,NA,New Zealand,Unlogged,Winter,Temperate hardwood forest,130,20,-41.35,174.966667,1969-06-01,1976-08-15,"Forest structure, food sources, foliage density","Species specific data, seasonal",NA
1,Ford_1986,1986,NA,"Ford, H. A., Noske, S., & Bridges, L. (1986). Foraging of birds in eucalypt woodland in north-eastern New South Wales. Emu, 86(3), 168-179.",NA,https://drive.google.com/file/d/1HDSgEqqcfZl8Xb4vcrDAddasEzZjOShZ/view?usp=sharing,2,2 - Data needs combination between Table I (for n) and Table V,Yes,40,9911,NA,NA,NA,"Abundance, Richness - 6 categories of height",NA,Birds,NA,Australia,Unlogged,Sampling combined across the year,Eucalyptus forest,900,20,-30.583333,151.733333,1981-01-01,1982-02-28,Distribution of feeding habitats/resources - paper is based on foraging,"Guild, body weight, species specific, niche bredth","Excludes rare species, data is on foraging height"
1,Gregorin_2017,2017,1,"Gregorin, R., Bernard, E., Lobao, K. W., Oliveira, L. F., Machado, F. S., Gil, B. B., & da Cunha Tavares, V. (2017). Vertical stratification in bat assemblages of the Atlantic Forest of south-eastern Brazil. Journal of Tropical Ecology, 33(5), 299-308.",10.1017/S026646741700027X,https://drive.google.com/file/d/1BiTwBVdaGTB8PTye6KroQL3Xslxrx8MK/view?usp=sharing,2,2 - convert by sampling effort which is uneven,Yes,31,618,2,2,3,"Richness, Abundance (2 categories of height)",Mist nets,Bats,Americas,Brazil,Unlogged and secondary,Unknown,Semideciduous subtropical forest,400,25,-19.805,-42.641667,2012-04-01,2013-09-15,Food distribution and therefore guild distribution,"Guild, species specific strata preference data",NA
1,Grelle_2003,2003,1,"Grelle, C. E. V. (2003). Forest structure and vertical stratification of small mammals in a secondary Atlantic forest, southeastern Brazil. Studies on Neotropical Fauna and Environment, 38(2), 81-85.",10.1076/snfe.38.2.81.15926,https://drive.google.com/file/d/1Bo9tShDsmvDwiTd9t2zfbRUNfSzBWe3G/view?usp=sharing,1,NA,Yes,11,170,2,2,3,"Richness, Abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Old regrowth,Sampling combined across the year,Semideciduous subtropical forest,400,25,-19.716667,-42.533333,1994-03-01,1994-10-15,Foraging habits,Species specific data,NA
1,Hannibal_2010,2010,1,"Hannibal, W., & Caceres, N. C. (2010). Use of vertical space by small mammals in gallery forest and woodland savannah in south-western Brazil. Mammalia, 74(3), 247-255.",10.1515/MAMM.2010.007,https://drive.google.com/file/d/1rHmH_y9k1CRCfZZttj9PniFz7IjrNrN4/view?usp=sharing,1,NA,Yes,6,28,2,2,5,"Richness, Abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined across the year,Gallery forest,300,15,-20.458333,-55.541667,2006-08-01,2007-06-15,Foraging habits,Species specific data,NA
2,Hannibal_2010,2010,1,"Hannibal, W., & Caceres, N. C. (2010). Use of vertical space by small mammals in gallery forest and woodland savannah in south-western Brazil. Mammalia, 74(3), 247-255.",10.1515/MAMM.2010.007,https://drive.google.com/file/d/1rHmH_y9k1CRCfZZttj9PniFz7IjrNrN4/view?usp=sharing,1,NA,Yes,6,22,2,2,5,"Richness, Abundance - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined across the year,Woodland Savannah,300,10,-20.541667,-55.291667,2006-08-01,2007-06-15,Foraging habits,Species specific data,NA
1,Hayes_2000,2000,NA,"Hayes, J. P., & Gruver, J. C. (2000). Vertical stratification of bat activity in an old-growth forest in western Washington.",NA,https://drive.google.com/file/d/1VQtAHR9vQ72r0mmFcVxFOPvtmMw77npI/view?usp=sharing,1,NA,Yes,NA,2304,NA,NA,NA,Abundance - 4 categories of height,Audio devices,Bats,NA,USA,Unlogged,Summer,Temperate rainforest,355,65,46.166667,-121.816667,1996-07-08,1996-08-01,"Vegetation structure, food resources",Activity patterns through the night,NA
1,Hecker_1999,1999,NA,"Hecker, K. R., & Brigham, R. M. (1999). Does moonlight change vertical stratification of activity by forest-dwelling insectivorous bats?. Journal of Mammalogy, 80(4), 1196-1201.",https://doi.org/10.2307/1383170,https://drive.google.com/file/d/1AADtK7IjwQYDzsmjydGFMifz_lz-hwXh/view?usp=sharing,1,NA,Yes,NA,NA,NA,NA,NA,Abundance (activity) - 2 categories of height (binomial test),Audio devices,Bats,NA,Canada,Unlogged,Summer,Temperate rainforest,150,65,48.56592,-123.838921,1995-05-31,1995-08-19,Food resources,Interaction of verticality and moonlight,NA
1,Henry_2004,2004,1,"Henry, M., Barrière, P., Gautier-Hion, A., & Colyn, M. (2004). Species composition, abundance and vertical stratification of a bat community (Megachiroptera: Pteropodidae) in a West African rain forest. Journal of Tropical Ecology, 20(01), 21-29.",10.1017/S0266467404006145,https://drive.google.com/file/d/17hDxgB-Cn926R680ByaoEWlXDRwI97YH/view?usp=sharing,1,NA,Yes,9,534,2,3,3,"Abundance, Richness (2 or 5 categories of height..)",Mist nets,Bats,Africa,Ivory Coast,Unlogged,Summer,Tropical rainforest,200,35,5.746713,-7.098746,1995,1996,Food resources,Species specific data,NA
1,Holmes_1979,1979,NA,"Holmes, R. T., Bonney Jr, R. E., & Pacala, S. W. (1979). Guild structure of the Hubbard Brook bird community: a multivariate approach. Ecology, 60(3), 512-520.",NA,https://drive.google.com/file/d/1jmf1sN-TpDQaLwkmmGek2oEHUs9vm4qC/view?usp=sharing,2,2 - needs converting from species ranges,No,NA,NA,NA,NA,NA,Richness,Human observation,Birds,NA,USA,Unlogged,Summer,Deciduous forest,550,25,43.933957,-71.745875,1975-06-01,1976-07-30,Forest structure,"Species specific, guild, foraging",NA
1,Holmes_1986,1986,NA,"Holmes, R. T., & Recher, H. F. (1986). Determinants of guild structure in forest bird communities: an intercontinental comparison. The Condor, 88(4), 427-439.",NA,https://drive.google.com/file/d/13Sl4nQVvJBPN4FXip2RqYr8vzTXkuzU3/view?usp=sharing,2,2 - needs converting from species ranges,No,NA,NA,NA,NA,NA,Richness,Human observation,Birds,NA,Australia,Unlogged,Summer,Eucalyptus forest,800,30,-36.9,149.233333,1980-10-15,1981-01-19,Food and habitat resouces structure,"Species specific, guild, foraging",NA
2,Jayson_2003,2003,1,"Jayson, E. A., & Mathew, D. N. (2003). Vertical stratification and its relation to foliage in tropical forest birds in Western Ghats (India). Acta Chiropterologica, 38(2), 111-116.",http://dx.doi.org/10.3161/068.038.0207,https://drive.google.com/file/d/1-2wBBs-pC8aSjq_6BxZt8uDLgbzoLD7m/view?usp=sharing,1,NA,Yes,68,2607,2,2,5,"Abundance, richness, diversity (7 categories of height)",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined across the year,Moist deciduous forest,700,35,11.216667,76.583333,1988,1993,Foliage distribution,Foliage density/abundance,NA
1,Jayson_2003,2003,1,"Jayson, E. A., & Mathew, D. N. (2003). Vertical stratification and its relation to foliage in tropical forest birds in Western Ghats (India). Acta Chiropterologica, 38(2), 111-116.",http://dx.doi.org/10.3161/068.038.0207,https://drive.google.com/file/d/1-2wBBs-pC8aSjq_6BxZt8uDLgbzoLD7m/view?usp=sharing,1,NA,Yes,57,4917,2,2,5,"Abundance, richness, diversity (7 categories of height)",Human observation,Birds,Asia and Oceania,India,Unlogged,Sampling combined across the year,Tropical evergreen forest,1000,35,11.05,76.416667,1988,1993,Foliage distribution,Foliage density/abundance,NA
1,Kalcounis_1999,1999,NA,"Kalcounis, M., Hobson, K., Brigham, R., & Hecker, K. (1999). Bat Activity in the Boreal Forest: Importance of Stand Type and Vertical Strata. Journal of Mammalogy, 80(2), 673-682. doi:10.2307/1383311",10.2307/1383311,https://drive.google.com/file/d/14gLAel9N9tpLk-bI-MVyJyVCN01rHJSI/view?usp=sharing,1,NA,Yes,NA,653.48,NA,NA,NA,Abundance (Passes- test statistic),Audio devices,Bats,NA,Canada,Unlogged,Summer,Aspen,400,21,55.583333,-106.166667,1995,1995,Forest structure,"Stand type, speciec specific data",Test is between within and above the canopy
3,Kalcounis_1999,1999,NA,"Kalcounis, M., Hobson, K., Brigham, R., & Hecker, K. (1999). Bat Activity in the Boreal Forest: Importance of Stand Type and Vertical Strata. Journal of Mammalogy, 80(2), 673-682. doi:10.2307/1383311",10.2307/1383311,https://drive.google.com/file/d/14gLAel9N9tpLk-bI-MVyJyVCN01rHJSI/view?usp=sharing,1,NA,Yes,NA,189.72,NA,NA,NA,Abundance (Passes- test statistic),Audio devices,Bats,NA,Canada,Unlogged,Summer,Jack Pine,400,15,54.2,-104.716667,1995,1995,Forest structure,"Stand type, speciec specific data",Test is between within and above the canopy
2,Kalcounis_1999,1999,NA,"Kalcounis, M., Hobson, K., Brigham, R., & Hecker, K. (1999). Bat Activity in the Boreal Forest: Importance of Stand Type and Vertical Strata. Journal of Mammalogy, 80(2), 673-682. doi:10.2307/1383311",10.2307/1383311,https://drive.google.com/file/d/14gLAel9N9tpLk-bI-MVyJyVCN01rHJSI/view?usp=sharing,1,NA,Yes,NA,210.8,NA,NA,NA,Abundance (Passes- test statistic),Audio devices,Bats,NA,Canada,Unlogged,Summer,Black Spruce,400,13,54,-105.083333,1995,1995,Forest structure,"Stand type, speciec specific data",Test is between within and above the canopy
1,Kalko_2001,2001,1,"Kalko, E. K., & Handley, C. O. (2001). Neotropical bats in the canopy: diversity, community structure, and implications for conservation. Plant ecology, 153(1-2), 319-333.",NA,https://drive.google.com/file/d/1qB2-uy5CV2SbJPeTNh29NMTDND62Bzuz/view?usp=sharing,2,2 - (Data needs converting by sampling effort),Yes,20,1871,4,3,4,"Richness, abundance (2 categories of height)",Mist nets,Bats,Americas,Brazil,Unlogged,Wet season,Lowland rainforest,50,35,-1.42398,-48.241233,1968,1969,"Forest structure, foraging strategy","Foraging guild, species specific data",NA
2,Karr_1971,1971,1,"Karr, J. R. (1971). Structure of avian communities in selected Panama and Illinois habitats. Ecological Monographs, 41(3), 207-233.",NA,https://drive.google.com/file/d/1dqsmQyr5qfNySaTUTiZzZc20Kfe_fddW/view?usp=sharing,1,NA,Yes,56,NA,2,2,4,Richness - 4 categories of height,Mist nets + Human observation,Birds,Americas,Panama,Unlogged,Sampling combined across the year,Tropical rainforest,100,35,9.159722,-79.743333,1968-07-01,1969-07-30,"Forest structure, foraging strategy","Foraging guild, foliage distribution, species specific data",NA
1,Karr_1971,1971,NA,"Karr, J. R. (1971). Structure of avian communities in selected Panama and Illinois habitats. Ecological Monographs, 41(3), 207-233.",NA,https://drive.google.com/file/d/1dqsmQyr5qfNySaTUTiZzZc20Kfe_fddW/view?usp=sharing,1,NA,Yes,32,NA,NA,NA,NA,Richness - 4 categories of height,Mist nets + Human observation,Birds,NA,Illinois,Old regrowth,Spring and summer,Temperate deciduous forest,200,25,40.144851,-87.736129,1966-04-01,1966-09-01,"Forest structure, foraging strategy","Foraging guild, species specific data",NOT including the shrub based forest here
1,Koen_1988,1988,NA,"Koen, J. H. (1988). Stratal distribution and resource partitioning of birds in the Knysna Forest, South Africa. African Journal of Ecology, 26(3), 229-238.",NA,https://drive.google.com/file/d/1QCyrv5_SRIIxBt_7GiUJGsthf00lCYRh/view?usp=sharing,3,3 - Data as mean observation height per species,No,NA,NA,NA,NA,NA,Richness - Continuous gradient,Human observation,Birds,NA,South Africa,Unlogged,Sampling combined across the year,Temperate mixed evergreen,400,26,-33.933333,23.15,1983-04-01,1984-03-01,Food availability and structural foraging zone,Species specific data,Doesnt include rare species
1,Kuznetsov_2008,2008,1,"Kuznetsov, G. V., & Filatova, T. N. (2008). On the structure of rodent communities in tropical forests of southern Vietnam. Biology Bulletin, 35(5), 515-523.",10.1134/S1062359008050130,https://drive.google.com/file/d/19WPbfmDSng7fqd9MmM-holt5dvJfk3rr/view?usp=sharing,1,NA,Yes,14,443,2,2,4,"Abundance (Figure 4), Richness (2/3 - combine) - 2 categories of height",Traps,Small mammals,Asia and Oceania,Vietnam,Unlogged,Wet season,Tropical rainforest,200,35,11.439917,107.415222,2005-12-01,2007-04-01,Food and structure,"Forest disturbance, species specific data,",NA
2,Kuznetsov_2008,2008,NA,"Kuznetsov, G. V., & Filatova, T. N. (2008). On the structure of rodent communities in tropical forests of southern Vietnam. Biology Bulletin, 35(5), 515-523.",10.1134/S1062359008050130,https://drive.google.com/file/d/19WPbfmDSng7fqd9MmM-holt5dvJfk3rr/view?usp=sharing,1,NA,Yes,9,172,2,2,4,"Abundance (Figure 4), Richness (2/3 - combine) - 2 categories of height",Traps,Small mammals,Asia and Oceania,Vietnam,Disturbed,Wet season,Tropical rainforest,200,25,11.428139,107.426139,2005-12-01,2007-04-01,Food and structure,"Forest disturbance, species specific data,",NA
1,Lambert_2005,2005,1,"Lambert, T. D., Malcolm, J. R., & Zimmerman, B. L. (2005). Variation in small mammal species richness by trap height and trap type in southeastern Amazonia. Journal of Mammalogy, 86(5), 982-990.",http://dx.doi.org/10.1644/1545-1542(2005)86[982:VISMSR]2.0.CO;2,https://drive.google.com/file/d/16CuPUtU-cua168qsmFf5NvirTOq5WP0r/view?usp=sharing,1,NA,Yes,25,1769,3,3,5,"Abundance, Richness - 3 categories of height",Traps,Small mammals,Americas,Brazil,Unlogged,Sampling combined across the year,Tropical rainforest,300,20,-7.770556,-51.961944,2002-06-01,2003-03-01,Food and structure,"Trap types , species specific data",NA
1,Landres_1980,1980,NA,"Landres, P. B., & MacMahon, J. A. (1980). Guilds and community organization: analysis of an oak woodland avifauna in Sonora, Mexico. The Auk, 97(2), 351-365.",NA,https://drive.google.com/file/d/1bN1D0phRykZsJYPIQnbOnHSbubOriw60/view?usp=sharing,1,NA,Yes,NA,3010,NA,NA,NA,"Abundance (Figure 3), Richness (appendix) - 6 categories of height",Human observation,Birds,NA,Mexico,Unlogged,Spring,Sub-tropical deciduous forest,1500,10,30.583333,-109.716667,1977-03-28,1977-05-01,"Vegetation structure, food resources","Vegetation stratification, guild and species specific foraging/[perch height data",NA
