linking_id,study_id,binomial_test_data,biodiversity_metric_value,biodiversity_metric,biodiversity_metric_specific,var_biodiversity_metric,var_biodiversity_metric_min,var_biodiversity_metric_max,var_biodiversity_metric_unit,biodiversity_metric_corrected,correction_performed,subsequent_correction,correction_performed_on_data_in_table,proportion_of_max_biodiversity,statistic_standard_deviation,min_strata_height,max_strata_height,mean_strata_height,strata_category,proportional_strata_height,direction_of_response,statistic_type,statistic_value,p_value,statistic_notes,compared_height_1,compared_height_2,temporal_effort_at_each_height,temporal_effort_unit,metric_effort,corrected_metric,spatial_effort,spatial_effort_unit,notes
1,Abreu_2014,N,72,abundance,raw,NA,NA,NA,NA,N,NA,8.540925267,captures per 100 trap nights,100,NA,0,0,0,ground,NA,NA,NA,NA,NA,NA,NA,NA,843.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (843) divided by 24 nights of sampling
1,Abreu_2014,N,29,abundance,raw,NA,NA,NA,NA,N,NA,2.660550459,captures per 100 trap nights,31.15061162,NA,1,5,3,understory,NA,NA,NA,NA,NA,NA,NA,NA,1090.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),"# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (1,090) divided by 24 nights of sampling"
1,Abreu_2014,N,24,abundance,raw,NA,NA,NA,NA,N,NA,2.154398564,captures per 100 trap nights,25.22441652,NA,6,12,9,canopy,NA,NA,NA,NA,NA,NA,NA,NA,1114.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),"# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (1,114) divided by 24 nights of sampling"
1,Abreu_2014,N,10,richness,observed,NA,NA,NA,NA,N,NA,1.18623962,species per 100 captures,100,NA,0,0,0,ground,NA,NA,NA,NA,NA,NA,NA,NA,843.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (843) divided by 24 nights of sampling
1,Abreu_2014,N,7,richness,observed,NA,NA,NA,NA,N,NA,0.6422018349,species per 100 captures,54.13761468,NA,1,5,3,understory,NA,NA,NA,NA,NA,NA,NA,NA,1090.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),"# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (1,090) divided by 24 nights of sampling"
1,Abreu_2014,N,4,richness,observed,NA,NA,NA,NA,N,NA,0.3590664273,species per 100 captures,30.26929982,NA,6,12,9,canopy,NA,NA,NA,NA,NA,NA,NA,NA,1114.0,trap-nights,NA,NA,100.0,trap stations (1 forest site),"# traps recorded does not include trap failure/malfunction. Spatial effort was succesfful recorded trap-nights (1,114) divided by 24 nights of sampling"
1,Acharya_2017,N,8.06010928961749,richness,observed (median),2.0284459717449597,NA,NA,75th-25th percentile,Y,per transect,NA,NA,24.38016529,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation."
1,Acharya_2017,N,33.0601092896174,richness,observed (median),11.096792668957704,NA,NA,75th-25th percentile,Y,per transect,NA,NA,100,NA,0,5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation."
1,Acharya_2017,N,33.0601092896174,richness,observed (median),7.875143184421503,NA,NA,75th-25th percentile,Y,per transect,NA,NA,100,NA,5,10,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation."
1,Acharya_2017,N,26.0928961748633,richness,observed (median),5.250095456281002,NA,NA,75th-25th percentile,Y,per transect,NA,NA,78.92561983,NA,10,15,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0,minutes per point count,NA,NA,37.0,points,"During the initial stage of the study we used a range finder to estimate the height of birds, but based on observer experience during subsequent sampling we  used visual estimation."
